Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","5000","World","5510","Production","236","Soybeans","1961","1961","tonnes","26883158","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5510","Production","236","Soybeans","1962","1962","tonnes","27120148","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5510","Production","236","Soybeans","1963","1963","tonnes","28207071","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5510","Production","236","Soybeans","1964","1964","tonnes","29079547","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5510","Production","236","Soybeans","1965","1965","tonnes","31704923","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5510","Production","236","Soybeans","1966","1966","tonnes","36412918","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5510","Production","236","Soybeans","1967","1967","tonnes","37933319","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5510","Production","236","Soybeans","1968","1968","tonnes","41420481","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5510","Production","236","Soybeans","1969","1969","tonnes","41967347","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5510","Production","236","Soybeans","1970","1970","tonnes","43696887","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5510","Production","236","Soybeans","1971","1971","tonnes","45618769","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5510","Production","236","Soybeans","1972","1972","tonnes","47257207","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5510","Production","236","Soybeans","1973","1973","tonnes","59267889","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5510","Production","236","Soybeans","1974","1974","tonnes","52639832","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5510","Production","236","Soybeans","1975","1975","tonnes","64248541","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5510","Production","236","Soybeans","1976","1976","tonnes","57399226","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5510","Production","236","Soybeans","1977","1977","tonnes","73854802","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5510","Production","236","Soybeans","1978","1978","tonnes","75449966","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5510","Production","236","Soybeans","1979","1979","tonnes","88698341","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5510","Production","236","Soybeans","1980","1980","tonnes","81040368","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5510","Production","236","Soybeans","1981","1981","tonnes","88525040","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5510","Production","236","Soybeans","1982","1982","tonnes","92121684","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5510","Production","236","Soybeans","1983","1983","tonnes","79467061","A","Aggregate, may include official, semi-official, estimated or calculated data"
