Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","3","Albania","58","Gross Production Value (constant 2014-2016 thousand US$)","236","Soybeans","1980","1980","1000 US$","4551","Fc","Calculated data"
"QV","Value of Agricultural Production","3","Albania","58","Gross Production Value (constant 2014-2016 thousand US$)","236","Soybeans","1981","1981","1000 US$","4930","Fc","Calculated data"
"QV","Value of Agricultural Production","3","Albania","58","Gross Production Value (constant 2014-2016 thousand US$)","236","Soybeans","1982","1982","1000 US$","5688","Fc","Calculated data"
"QV","Value of Agricultural Production","3","Albania","58","Gross Production Value (constant 2014-2016 thousand US$)","236","Soybeans","1983","1983","1000 US$","5309","Fc","Calculated data"
"QV","Value of Agricultural Production","3","Albania","58","Gross Production Value (constant 2014-2016 thousand US$)","236","Soybeans","1984","1984","1000 US$","5688","Fc","Calculated data"
"QV","Value of Agricultural Production","3","Albania","58","Gross Production Value (constant 2014-2016 thousand US$)","236","Soybeans","1985","1985","1000 US$","6068","Fc","Calculated data"
"QV","Value of Agricultural Production","3","Albania","58","Gross Production Value (constant 2014-2016 thousand US$)","236","Soybeans","1986","1986","1000 US$","6826","Fc","Calculated data"
"QV","Value of Agricultural Production","3","Albania","58","Gross Production Value (constant 2014-2016 thousand US$)","236","Soybeans","1987","1987","1000 US$","4551","Fc","Calculated data"
"QV","Value of Agricultural Production","3","Albania","58","Gross Production Value (constant 2014-2016 thousand US$)","236","Soybeans","1988","1988","1000 US$","8343","Fc","Calculated data"
"QV","Value of Agricultural Production","3","Albania","58","Gross Production Value (constant 2014-2016 thousand US$)","236","Soybeans","1989","1989","1000 US$","9101","Fc","Calculated data"
"QV","Value of Agricultural Production","3","Albania","58","Gross Production Value (constant 2014-2016 thousand US$)","236","Soybeans","1990","1990","1000 US$","5309","Fc","Calculated data"
"QV","Value of Agricultural Production","3","Albania","58","Gross Production Value (constant 2014-2016 thousand US$)","236","Soybeans","1991","1991","1000 US$","1906","Fc","Calculated data"
"QV","Value of Agricultural Production","3","Albania","58","Gross Production Value (constant 2014-2016 thousand US$)","236","Soybeans","1992","1992","1000 US$","1105","Fc","Calculated data"
"QV","Value of Agricultural Production","3","Albania","58","Gross Production Value (constant 2014-2016 thousand US$)","236","Soybeans","1993","1993","1000 US$","509","Fc","Calculated data"
"QV","Value of Agricultural Production","3","Albania","58","Gross Production Value (constant 2014-2016 thousand US$)","236","Soybeans","1994","1994","1000 US$","99","Fc","Calculated data"
"QV","Value of Agricultural Production","3","Albania","58","Gross Production Value (constant 2014-2016 thousand US$)","236","Soybeans","1995","1995","1000 US$","120","Fc","Calculated data"
"QV","Value of Agricultural Production","3","Albania","58","Gross Production Value (constant 2014-2016 thousand US$)","236","Soybeans","1996","1996","1000 US$","208","Fc","Calculated data"
"QV","Value of Agricultural Production","3","Albania","58","Gross Production Value (constant 2014-2016 thousand US$)","236","Soybeans","1997","1997","1000 US$","171","Fc","Calculated data"
"QV","Value of Agricultural Production","3","Albania","58","Gross Production Value (constant 2014-2016 thousand US$)","236","Soybeans","1998","1998","1000 US$","113","Fc","Calculated data"
"QV","Value of Agricultural Production","3","Albania","58","Gross Production Value (constant 2014-2016 thousand US$)","236","Soybeans","1999","1999","1000 US$","910","Fc","Calculated data"
"QV","Value of Agricultural Production","3","Albania","58","Gross Production Value (constant 2014-2016 thousand US$)","236","Soybeans","2000","2000","1000 US$","455","Fc","Calculated data"
